10
4 1
13 8 4
5 5 6
4 2 13
11 10 12
13 11 20
16 16 1
19 5 13
18 4 18
15 1 12
13 4 15
16 2 16
16 11 11
13 6 17
10 6 4
18 12 1
19 11 12
18 18 13
11 11 2
6 6 12
6 1 6
20 98
11 7 12
7 2 2
5 4 18
16 1 18
19 9 20
13 3 6
18 7 17
2 1 20
17 16 18
16 11 6
10 9 11
12 1 1
13 1 19
4 4 2
2 2 7
3 1 9
12 6 1
8 1 12
11 3 7
9 9 4
4 3 8
8 8 18
8 5 20
16 6 1
6 3 18
16 10 4
9 8 7
8 4 17
13 4 1
3 3 17
9 4 19
12 7 2
8 7 12
17 7 17
15 9 1
17 13 12
5 2 3
7 3 18
19 3 6
14 5 13
8 6 2
11 9 8
8 2 18
11 4 15
15 11 20
12 2 1
3 2 19
12 11 15
9 6 13
10 7 1
10 5 19
6 1 2
18 10 9
5 1 10
14 7 6
7 1 1
14 11 7
19 19 13
8 3 5
17 12 5
11 1 15
16 14 11
17 3 4
10 2 2
13 5 1
6 2 9
5 5 18
19 12 8
16 12 18
12 8 2
18 18 14
12 4 3
7 4 11
14 8 17
18 9 8
16 3 19
17 6 17
17 15 2
6 6 18
7 7 13
15 14 2
11 6 18
4 1 13
16 8 1
16 5 12
6 5 12
5 3 19
10 8 10
18 1 9
16 9 5
7 5 5
11 11 15
13 12 17
15 13 5
15 2 2
4 2 3
15 3 11
14 12 16
20 105
16 8 7
2 2 15
6 2 13
3 3 12
11 4 13
6 1 4
19 2 2
14 9 6
17 17 17
19 1 17
12 2 14
15 13 5
7 6 5
11 11 15
19 9 1
18 9 13
18 11 4
17 5 14
6 4 6
5 2 8
6 6 6
4 3 6
6 3 18
11 8 6
10 2 17
2 1 20
5 3 17
19 15 8
3 1 18
7 5 19
8 8 5
6 5 7
3 2 12
10 1 2
7 3 9
16 15 3
7 2 5
17 9 8
16 9 20
14 4 11
18 6 1
14 2 2
18 17 5
12 3 17
14 5 4
19 4 13
10 5 9
9 9 5
12 6 16
11 9 13
11 5 16
4 4 14
17 6 3
7 4 14
8 5 14
10 7 16
5 4 13
17 13 3
11 7 7
7 7 18
15 3 4
16 14 20
19 5 11
8 7 14
8 3 13
9 5 5
18 14 10
14 1 13
18 10 8
13 7 3
4 2 10
17 16 4
8 4 8
15 4 15
12 12 6
8 6 3
16 10 6
11 10 5
17 14 10
11 1 12
9 4 13
4 1 14
12 4 14
10 10 6
12 9 3
8 1 3
5 1 6
5 5 3
17 4 12
9 7 13
16 12 17
18 5 17
19 8 3
9 1 17
13 5 18
15 11 9
13 10 19
18 7 15
16 6 19
14 11 9
8 2 16
10 6 18
12 10 9
9 2 14
16 2 20
20 106
6 2 9
10 3 1
11 1 13
12 12 6
13 11 2
9 3 3
5 3 3
16 7 1
18 5 5
2 2 17
7 1 5
19 11 11
8 8 5
14 5 5
12 8 18
7 7 13
13 6 5
16 11 17
10 2 8
16 6 4
19 18 16
17 3 8
9 2 20
10 7 1
13 5 9
17 13 10
3 2 11
13 12 8
17 2 2
17 11 2
15 12 4
17 8 8
13 1 1
16 16 17
16 15 15
16 12 18
18 4 5
7 6 7
8 7 13
2 1 12
13 4 6
5 2 18
12 2 19
9 4 10
9 6 12
3 1 3
5 1 15
14 10 9
11 5 19
4 2 15
17 10 8
5 4 8
7 4 15
12 11 12
5 5 7
4 4 9
19 12 6
9 5 15
6 5 14
18 9 18
16 8 9
15 6 3
17 15 1
10 4 13
14 4 16
6 6 12
7 2 11
10 5 16
13 2 2
13 7 4
17 12 6
4 3 9
7 5 8
15 4 15
6 4 6
13 10 12
13 9 12
9 8 12
6 3 2
14 12 9
3 3 11
16 10 12
6 1 6
10 10 6
11 4 14
17 16 18
8 5 11
15 5 4
15 13 11
16 2 13
8 4 12
16 4 16
17 9 13
18 8 16
15 15 18
17 7 20
14 14 14
18 6 17
7 3 15
19 8 1
14 9 4
17 4 9
19 17 4
19 16 15
12 4 13
14 8 2
20 150
18 11 16
5 2 15
5 4 3
16 3 7
5 5 10
3 2 4
9 2 12
12 8 11
8 8 1
15 1 2
9 3 14
4 3 13
16 1 10
15 2 8
13 13 16
11 4 12
16 12 19
2 2 14
13 8 13
2 1 9
4 1 11
10 4 3
13 11 8
9 5 18
19 9 15
17 6 2
11 6 8
6 5 14
11 5 4
6 1 18
4 2 15
8 1 17
16 7 1
8 3 7
9 1 5
6 3 6
5 3 7
9 7 10
18 3 17
9 8 9
19 15 4
5 1 2
4 4 6
8 4 13
8 5 8
13 7 17
6 2 4
16 11 12
11 10 18
6 4 19
10 8 12
9 4 12
6 6 18
14 8 10
7 4 2
7 6 1
18 12 17
19 6 16
14 4 20
18 14 3
10 1 18
18 10 16
12 2 10
16 14 18
10 9 5
12 9 17
11 1 9
10 10 1
12 1 16
19 18 9
18 2 15
10 3 12
15 3 4
17 15 16
11 9 19
19 4 11
15 13 18
8 6 9
7 3 10
10 6 20
18 1 18
13 1 2
11 2 7
14 12 9
10 5 12
17 17 13
12 12 17
18 9 17
10 7 3
12 6 14
7 2 15
12 3 10
12 10 12
9 9 19
11 3 14
17 14 4
18 4 14
7 7 2
10 2 14
14 10 1
13 3 5
9 6 4
13 4 20
16 15 18
16 16 6
17 3 6
16 10 2
12 7 2
19 11 15
18 16 20
19 13 16
3 3 20
18 18 16
18 5 13
19 8 18
8 2 2
12 5 2
13 9 9
15 15 13
19 2 10
17 2 12
8 7 4
16 4 3
17 4 17
11 8 3
13 2 19
13 6 8
3 1 5
7 5 18
14 9 19
15 5 10
13 12 19
16 2 20
18 8 6
17 5 13
18 17 2
7 1 9
11 11 8
14 2 8
18 13 16
18 7 11
15 11 9
17 1 8
15 12 10
12 11 10
11 7 6
16 6 10
15 14 16
16 5 11
16 9 7
